"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/05/2018","AQS","370030005","1","0.047","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/05/2018","AQS","370110002","1","0.048","ppm","44","Linville Falls","16","94.0000","44201","Ozone","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"03/05/2018","AQS","370119991","1","0.05","ppm","46","Cranberry","17","100.0000","44201","Ozone","","","37","North Carolina","011","Avery","36.1058","-82.0454"
"03/05/2018","AQS","370210030","1","0.044","ppm","41","Bent Creek","17","100.0000","44201","Ozone","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.500102002749","-82.5998603096712"
"03/05/2018","AQS","370270003","1","0.047","ppm","44","Lenoir (city)","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","027","Caldwell","35.9359000008969","-81.5306"
"03/05/2018","AQS","370319991","1","0.044","ppm","41","Beaufort","17","100.0000","44201","Ozone","33980","Morehead City, NC","37","North Carolina","031","Carteret","34.8848","-76.6203"
"03/05/2018","AQS","370330001","1","0.047","ppm","44","Cherry Grove","17","100.0000","44201","Ozone","","","37","North Carolina","033","Caswell","36.307033","-79.467417"
"03/05/2018","AQS","370510008","1","0.047","ppm","44","Wade","17","100.0000","44201","Ozone","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.158686","-78.728035"
"03/05/2018","AQS","370510010","1","0.048","ppm","44","Honeycutt School","17","100.0000","44201","Ozone","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.0023035275774","-78.9916923423935"
"03/05/2018","AQS","370630015","1","0.045","ppm","42","Durham Armory","17","100.0000","44201","Ozone","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"03/05/2018","AQS","370650099","1","0.046","ppm","43","Leggett","17","100.0000","44201","Ozone","40580","Rocky Mount, NC","37","North Carolina","065","Edgecombe","35.988278","-77.5843"
"03/05/2018","AQS","370670022","1","0.045","ppm","42","Hattie Avenue","17","100.0000","44201","Ozone","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/05/2018","AQS","370670030","1","0.047","ppm","44","Clemmons Middle","17","100.0000","44201","Ozone","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.026612","-80.341962"
"03/05/2018","AQS","370671008","1","0.044","ppm","41","Union Cross","17","100.0000","44201","Ozone","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.051805","-80.144933"
"03/05/2018","AQS","370750001","1","0.052","ppm","48","Joanna Bald","17","100.0000","44201","Ozone","","","37","North Carolina","075","Graham","35.2578000008897","-83.7955"
"03/05/2018","AQS","370770001","1","0.047","ppm","44","Butner","17","100.0000","44201","Ozone","37080","Oxford, NC","37","North Carolina","077","Granville","36.141111","-78.768056"
